ID,Product Category,Inspected Samples,Measurement Samples,Workmanship Samples,Number of Item type,Number of Styles,Total Time (H)
318,Cat&Jack,125,0,0,10,1,2.490555556
319,Pullover,125,0,0,30,1,3.479166667
320,Tee,50,0,0,8,1,0.936111111
321,Pijama,125,0,1,6,1,3.165
322,Sweater,125,0,0,6,1,4.250833333
323,Swimwear,125,0,0,17,5,5.509444444
324,Cardigans,125,0,0,6,1,3.078888889
325,Legging,125,0,0,30,2,7.993333333
326,Shirts,125,0,0,53,6,5.645555556
327,Tee,125,0,0,36,1,2.377777778
328,Sweater,125,0,0,39,2,4.522222222
329,Boots,80,0,0,10,1,3.29
330,Boots,125,0,0,10,1,3.560555556
331,"WINTER BOOT, FASHION BOOT",125,0,0,125,16,4.001944444
332,Legging,125,0,0,24,2,1.8675
333,Shirts,80,0,0,30,1,2.794444444
334,Hoodie,125,0,0,18,1,4.841388889
335,Boots,125,0,0,10,1,2.410555556
336,T-shirt,125,0,0,68,2,3.157777778
337,T-shirt,125,0,0,40,1,3.420555556
338,Boots,80,0,0,10,1,1.788055556
339,Tee,125,0,0,24,1,3.425833333
340,Tee,50,0,0,12,1,2.168611111
341,Tee,80,0,0,24,1,2.145277778
342,Boots,80,0,0,20,2,2.845
343,Swimwear,125,0,0,4,1,2.261388889
344,Hoodie,80,0,0,10,2,2.318611111
345,Dress,50,0,1,9,1,1.354722222
346,Tee,125,0,1,30,1,2.575
347,Tee,125,0,0,20,1,1.550555556
348,Swimwear,50,0,0,20,4,5.504722222
349,Pullover,125,0,0,51,3,3.081111111
350,Pijama,125,0,1,6,1,2.395833333
351,Leisurewear,50,0,0,8,2,4.087222222
352,Knits,125,0,0,60,1,4.14
353,"WINTER BOOT, FASHION BOOT",125,0,0,118,14,5.063333333
354,Union Suit,80,0,0,8,1,3.527222222
355,WINTER BOOT,125,0,0,47,4,6.953888889
356,FASHION BOOT,80,0,1,8,1,1.023055556
357,Boots,80,0,0,10,1,1.608888889
358,Tee,32,0,1,18,3,0.690833333
359,Swimwear,125,0,1,34,6,3.863888889
360,Sweater,125,0,0,12,1,5.226666667
361,Legging,125,0,0,30,2,5.442222222
362,WINTER BOOT,125,0,3,31,3,0.872777778
363,Tunic,125,0,1,12,1,2.548888889
364,"Boots, Casual Shoes",80,0,0,40,4,2.650277778
365,Boots,80,0,0,10,1,2.150555556
366,Sweater,80,0,0,18,1,3.645
367,Cat&Jack,50,0,1,12,2,1.385
368,Tee,125,0,0,6,1,3.973055556
369,Pullover,125,0,0,63,2,2.882222222
370,FASHION BOOT,80,0,0,8,1,1.868611111
371,Jeans,32,0,0,22,2,4.748611111
372,"Boots, Casual Shoes",125,0,0,30,3,2.792222222
373,Leisurewear,50,0,0,10,1,2.618055556
374,Legging,125,0,0,30,2,5.674444444
375,Cat&Jack,80,0,0,49,7,2.100833333
376,Robe,125,0,1,21,3,5.813333333
377,Tee,125,0,0,68,6,3.599444444
378,Pants,80,0,0,25,2,2.076388889
379,WINTER BOOT,125,0,0,24,2,2.409444444
380,Cat&Jack,125,0,2,38,3,4.191666667
381,"WINTER BOOT, FASHION BOOT",125,0,1,80,11,4.068611111
382,Sweater,125,0,0,12,1,3.7875
383,Swimwear,50,0,0,10,2,4.1075
384,Windbreaker,20,0,0,6,1,2.56
385,T-shirt,125,0,0,15,1,5.321666667
386,Tee,125,0,0,6,1,3.619166667
387,Pants,125,0,0,36,6,2.417222222
388,WINTER BOOT,125,0,1,47,4,3.450833333
389,Woven,50,0,1,18,1,1.100555556
390,Pijama,125,0,0,5,1,2.271666667
391,Tee,80,0,0,12,2,2.2775
392,Pants,125,0,1,36,4,4.153611111
393,Tee,125,0,0,54,2,3.071944444
394,Boots,80,0,0,10,1,1.672777778
395,Pants,32,0,0,18,2,1.406111111
396,Jeans,32,0,0,22,2,1.930555556
397,Legging,125,0,0,21,1,3.994722222
